Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
Asia-Rest,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2025,0.043205589,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2030,0.042143597,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2035,0.034791649,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2040,0.013943562,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2045,0.0130345,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2050,0.012236749,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2025,-0.001259981,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2030,0.02992933,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2035,0.026028365,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2040,0.018342805,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2045,0.016800986,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2050,0.015498378,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2025,0.012850185,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2030,0.01569989,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2035,0.014556683,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2040,0.011351588,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2045,0.010741761,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2050,0.010194128,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2025,0.040430184,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2030,0.069613629,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2035,0.051549273,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2040,0.038448661,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2045,0.03223655,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2050,0.027755126,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2025,-0.010632098,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2030,0.006898055,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2035,0.006898055,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2040,0.002498346,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2045,0.002498346,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2050,0.002498346,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2025,0.015899507,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2030,0.03009671,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2035,0.026154811,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2040,0.027709092,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2045,0.02433338,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2050,0.021691516,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2025,0.029170244,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2030,0.042448374,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2035,0.034998878,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2040,0.034046018,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2045,0.029085311,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2050,0.025387922,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2025,0.004558462,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2030,0.018123135,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2035,0.016616526,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2040,0.011551303,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2045,0.01092042,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2050,0.010354894,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2025,0.026432779,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2030,0.045717882,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2035,0.037189067,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2040,0.035383167,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2045,0.030055003,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2050,0.026123321,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2025,0.044537393,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2030,0.070015884,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2035,0.071379599,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2040,0.06431502,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2045,0.055981163,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2050,0.044894961,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2025,0.025335884,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2030,0.028845282,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2035,0.028852994,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2040,0.024564455,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2045,0.014313147,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2050,0.010738259,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2025,0.024203868,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2030,0.020376409,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2035,0.0087955,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2040,-0.000884451,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2045,-0.008685117,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2050,-0.014864415,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2025,0.000866969,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2030,-5.24E-05,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2035,8.00E-05,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2040,-0.003047556,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2045,-0.006777663,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2050,-0.010484642,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2025,0.000783023,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2030,0.003150757,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2035,0.006786452,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2040,0.006343427,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2045,0.003317586,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2050,-0.000845599,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2025,0.038637245,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2030,0.040280381,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2035,0.019287549,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2040,0.034230701,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2045,0.023944555,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2050,0.014732694,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2025,-0.016268368,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2030,-0.023346946,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2035,-0.023496938,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2040,-0.023499968,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2045,-0.023050269,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2050,-0.02223591,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2025,0.005159075,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2030,0.023078989,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2035,0.022498054,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2040,0.017045431,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2045,0.011730038,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2050,0.005731056,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2025,0.0077013,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2030,0.018620341,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2035,0.019054169,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2040,0.019189173,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2045,0.025078056,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2050,0.024716659,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2055,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,Heat_High_Industrial,2060,0,,annual percentage change,,15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,Heat_High_Industrial,2025,0.0037564,,annual percentage change,"Keiner et al. (2021), https://doi.org/10.3390/en14133813 + UNIDO - INDSTAT Revision 4",15.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
